nodeId;realId;label;embedding
11827;89;0;[0.7656226754188538,-0.45751428604125977,-0.07711882889270782,-0.9029805660247803,1.2106547355651855,-0.6469552516937256,0.5991782546043396,0.8428454399108887,-0.2053261399269104,-0.23437628149986267]
11828;93;0;[-0.14509768784046173,-1.6323646306991577,0.47765371203422546,-1.204979658126831,1.3627115488052368,-0.7619777321815491,0.5921521782875061,-0.015626177191734314,-0.21512317657470703,-0.2815036177635193]
11829;94;0;[0.8972597718238831,-0.6226113438606262,-0.6917093992233276,-0.45645657181739807,1.0125130414962769,-0.6269316673278809,-0.17941194772720337,0.4367121756076813,-0.5786458849906921,-0.1705629825592041]
11830;95;0;[0.6649982333183289,-0.33626946806907654,0.6210187673568726,-0.6545709371566772,0.130031019449234,-1.154233694076538,1.143219232559204,1.2536269426345825,-0.9665209054946899,1.0851044654846191]
11831;96;0;[0.9000688791275024,-1.022598147392273,-0.3323100805282593,-0.45450812578201294,0.3985273540019989,-0.8475450277328491,-0.5373315215110779,0.11048237234354019,0.34088778495788574,0.12927579879760742]
11832;97;0;[0.4478088915348053,-0.9647078514099121,-0.48404422402381897,-1.774293303489685,0.22724251449108124,-1.621781349182129,0.086590975522995,1.7246276140213013,-0.7568550109863281,-0.0882393941283226]
11833;99;0;[0.6114256978034973,-1.1635749340057373,0.0023329027462750673,-0.8625417351722717,1.1238915920257568,-1.841015338897705,1.6176378726959229,0.3520733416080475,-0.37065768241882324,0.1327648013830185]
11834;100;0;[0.645786702632904,-0.9064446091651917,-0.6564785242080688,-0.9192747473716736,0.9464637041091919,-0.9545553922653198,0.07411881536245346,-0.007457782048732042,-0.15148523449897766,0.32604295015335083]
11835;101;0;[0.5680976510047913,-0.4611867070198059,-0.7757475972175598,-1.238365888595581,0.9826034307479858,-1.2444038391113281,-0.00022007664665579796,0.5545592308044434,0.07053259015083313,0.2816460430622101]
11836;103;0;[0.6082399487495422,0.15215188264846802,-0.439832866191864,0.3890947103500366,0.28844213485717773,-0.8688884973526001,-0.6697302460670471,-0.19270426034927368,0.5652388334274292,-0.38234981894493103]
